,,Highest Output,2nd Highest,3rd Highest,4th Highest,5th Highest
2015,Massachusetts,4014,,,,
,"Boston, Cape Cod,Duxbury,Medfield,Cambridge",944,472,328,253,204
2016,Massachusetts,7743,,,,
,"Cape Cod,Boston,Cambridge,Concord,Waltham",1205,997,640,363,219
2017,Massachusetts,2599,,,,
,"Boston,Cape Cod,Cambridge,Marion,Gloucester",486,429,201,105,104
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
