Year,Location,Weight,,,,
2015,Massachusetts,4014,,,,
2015,Boston,944,,,,
2015,Cape Cod,472,,,,
2015,Duxbury,328,,,,
2015,Medfield,253,,,,
2015,Cambridge,204,,,,
2016,Massachusetts,7743,,,,
2016,Cape Cod,1205,,,,
2016,Boston,997,,,,
2016,Cambridge,640,,,,
2016,Concord,363,,,,
2016,Waltham,219,,,,
2017,Massachusetts,2599,,,,
2017,Boston,486,,,,
2017,Cape Cod,424,,,,
2017,Cambridge,201,,,,
2017,Marion,105,,,,
2017,Gloucester,104,,,,
